nuccoreAcc	
CP000896	
CU468230	
NC_016603	CP002177.1
NC_008570	CP000462.1
NC_003062	AE007869.2
NC_003063	AE007870.2
CP000724	
NC_006841	CP000021.2
NC_006840	CP000020.2
NC_014318	CP002000.1
NC_000918	AE000657.1
NC_011581	
CP031217	
CP043857	
CP032097	
CP031218	
CP032098	
CP031219	
CP032099	
CP032100	
CP035926	
CP031367	
AP006810	
CP042941	
AP007209	
NC_000964	AL009126.3
NC_005957	AE017355.1
NC_006347	AP006841.1
NC_004663	AE015928.1
CP000524	
MT233526	
CP028341	
NC_014638	CP001840.1
NC_004307	AE014295.3
NC_019382	HE965806.1
NC_001318	AE000783.1
KC153975	
CP001643	
NC_004463	BA000040.2
NC_016118	JF920286.1
NC_002528	BA000003.2
NC_006350	BX571965.1
NC_006351	BX571966.1
CP022347	
CP028187	
CP012541	
CP020867	
CP006833	
CP012196	
NZ_CP020478	CP020478.1
CP015575	
CP015575	
CP007770	
NC_002163	AL111168.1
CP015578	
CP000932	
CP007766	
CP019683	
CP007772	
CP012195	
CP007774	
CP000860	
CP000968	
NC_011916	CP001340.1
NC_000922	AE001363.1
NC_000117	AE001273.1
AF008237	
NC_002932	AE006470.1
NC_010175	CP000909.1
CP007557	
CP014070	
AM849034	
NC_009089	AM180355.1
NC_003030	AE001437.1
CP014176	
CP014204	
NC_010723	CP001078.1
NC_010516	CP000939.1
CP013239	
NC_008262	CP000312.1
CP091095	
NC_003450	BA000036.3
AM942444	
NC_002971	AE016828.3
CP012264	
CP012266	
CP006731	
CP012268	
CP011047	
FN543093	
CP012257	
CM000429	
CM000430	
CM000431	
CM000432	
CM000433	
CM000434	
CM000435	
CM000436	
LN877947	
LN877948	
LN877949	
LN877950	
LN877951	
LN877952	
LN877953	
LN877954	
CU633750	
CU633749	
CP000806	
CP000807	
NC_001263	AE000513.1
NC_001264	AE001825.1
CP000884	
NC_002937	AE017285.1
NC_011661	CP001251.1
NC_014121	CP001918.1
NC_004668	AE016830.1
NC_017960	CP003583.1
CP024282	
CP027582	
CP042945	
CP003063	
AP008971	
NC_009613	AM398681.2
CP063138	
NC_006570	AJ749949.2
CP028101	
HQ857211	
NC_014644	CP002104.1
NC_002939	AE017180.2
NC_005125	BA000045.2
CP035690	
CP035691	
L42023	
CP000947	
AM774415	
MG770607	
AE000511	
CP000930	
NC_012920	J01415.2
NC_086845	
NC_017384	CP002018.1
NC_015663	CP002824.1
NC_016845	CP003200.1
NC_006814	CP000033.3
NC_008526	CP000423.1
NC_004567	AL935263.2
NC_007929	CP000233.1
NC_002662	AE005176.1
MK820672	
NC_002942	AE017354.1
CP000777	
NC_004342	AE010300.2
CP001013	
DQ489736	
LR134483	
CP045743	
FR687253	
CM001047	
CP054040	
CP054042	
CP054039	
CP054041	
FN557490	
LT906444	
CP000817	
NC_006055	AE017263.1
NC_014923	CP002447.1
CP000943	
CP001001	
CP001628	
CP012370	
CP004345	
NC_010397	CU458896.1
NC_002677	AL450380.1
NC_008596	CP000480.1
NC_000962	AL123456.3
NC_005364	BX293980.2
NC_000912	U00089.2
NC_002946	AE004969.1
NC_003112	AE002098.2
KR006340	
CP000758	
CP000759	
CP001875	
CP000140	
CP046752	
CP046751	
FR751399	
LT615228	
NC_005042	AE017126.1
NC_022000	CP004022.1
NC_002516	AE004091.2
AP013070	
NC_004578	AE016853.1
CP001014	
NC_007494	CP000144.2
NC_007493	CP000143.2
NC_005027	BX119912.1
NC_007643	CP000230.1
CP039381	
NC_000963	AJ235269.1
NC_007677	CP000159.1
FR877557	
CP053411	
LR134141	
CP000880	
CP053583	
AE006468	
CP053579	
CP054715	
CP053582	
CP053318	
CP053406	
CP053581	
CP006252	
CP000931	
NC_004347	AE014299.2
CP000961	
CP001560	
NC_012587	CP001389.1
NC_009636	CP000738.1
NC_003047	AL591688.1
NC_035963	MF034192.1
NZ_CP009554	CP009554.1
NC_004461	AE015929.1
NC_004116	AE009948.1
NC_013853	FN568063.1
NC_004350	AE014133.2
CP000936	
NC_002737	AE004092.2
NC_009009	CP000387.1
NC_012926	FM252032.1
FJ236999	
CP000951	
NC_013522	CP001818.1
CP000924	
NC_011296	CP001147.1
NC_004113	BA000039.2
NC_000853	AE000512.1
NC_006461	AP008226.1
AB101291	
NC_002967	AE017226.1
CP000942	
CP035699	
CP035700	
CP038178	
CP038179	
CP046804	
CP046803	
CP035697	
CP035698	
CP051126	
CP051127	
CP046797	
CP046798	
CP035692	
CP035693	
CP046817	
CP046818	
CP035684	
CP035685	
CP035682	
CP035683	
CP046791	
CP046792	
CP046828	
CP046827	
CP046832	
CP046833	
KC189947	
NC_003902	AE008922.1
CP000941	
CP009781	
CP054044	
NZ_CP043727	CP043727.1
NC_015224	CP002246.1
NC_008800	AM286415.1
CP023962	
NZ_CP032487	CP032487.1
CP009801	
CP054049	
CP054048	
CP054043	
CP009712	
CP032482	
CP009787	
